;;;; ;;;;;;;;;;;;;;;;; ONCOPROD RS ; ONCOPROD SP ; ONCOPROD PE ; NORPROD CE ; HOSPLOG DF ;;;; ONCOPROD ES ;;;; Preço Fabrica ;;;;; PMC ;;;;;
CÓD;Data alteração;Margem minima ;margem de venda;Descrição;Nome químico;Laboratório;NCM;Lista;Categoria;Tipo de Armazenamento;Produto Controlado;Exclusivo Hospitalar;Classificação fiscal;Resolução 13;ORIGEM;UF Laboratório;Obs;Ean;NÍVEL;% aproximado de aumento; CLIENTES RS / PR/ SC ; ONCOPROD SP ; CLIENTES PE ; NORPROD CE ; hostp_ICMS 17% ;  VALOR PARA CLIENTES GO  ;Pr.Vd. 17,5% RO ; hosp_Pr.Vd. 18% ; Clientes ES ; oncoES_ICMS 17% ; Pr.Vd. 18% ; Pr.Vd. 20% RJ ;fab0%;fab17%;fab17,5%;fab18%;fab20%;pmc0%;pmc17%;pmc17,5%;pmc18%;pmc20%;INDICAÇÃO
306131;19/08/2019;VERIFICAR COM LABORATÓRIO ;VERIFICAR COM LABORATÓRIO ;ABIRATERONA 250MG 120 COMP RED;ABIRATERONA, ACETATO DE ;DR. REDDY'S;3004.39.99;NEGATIVA;GENÉRICO;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;SP;PRECISAMOS VERIFICAR COM MOURA SE PODEMOS VENDER E QUAL DESCONTO UTILIZAR - MOURA  11.94556.5840 - VALOR MERCO SUL - 4500,00;8,90115E+12;3;0,0323;0;0;0;0;0;0;0;0;0;0;0;0;6031,6;7253,57;7304,23;7355,61;7568,57;0;0;0;0;0;Câncer de próstata
306390;28/01/2020;0,04;FÁBRICA;ABIRATERONA 250MG C/120 COMP SAN;ABIRATERONA, ACETATO DE ;SANDOZ;3004.90.69;NEGATIVA;GENÉRICO;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;SIM;IMPORTADO;SP;VENDA APENAS PARA SP;7,8976E+12;INFO PENDENTE;INFO PENDENTE;7356,15;0;7356,15;0;7254,11;7254,11;7304,77;7356,15;7254,11;7254,11;7356,15;7569,13;6032,043;7254,11;7304,77;7356,15;7569,13;0;0;0;0;0;Câncer de próstata
109665;11/04/2019;0,1;FÁBRICA ONERADO;ABRAXANE  100 MG  C/ 01 AMPOLA;PACLITAXEL ;UNITED MEDICAL;3004.90.59;NEGATIVA;OUTROS;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;ISENTO;SIM;IMPORTADO;GO;PROD.VEM DE GO, NÃO DESONERAR;7,89896E+12;1;0,0521;992,95;0;992,95;0;979,18;979,18;986,01;992,95;979,18;979,18;992,95;1021,7;826,69;0;0;0;0;0;0;0;0;0;Adenocarcinoma de pâncreas metastático
2183;01/10/2019;0,02;0,05;ACLASTA 5 MG FR C/100 ML;ZOLEDRONICO, ÁCIDO DE ;SANDOZ;3004.90.69;POSITIVA;SIMILAR;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;ISENTO;NÃO;NACIONAL;SP;PODEMOS ATENDER EM TODO BRASIL;7,89626E+12;2;0,0422;631,64;631,64;631,64;631,64;631,64;631,64;631,64;631,64;631,64;631,64;631,64;631,64;1759,69;0;0;0;0;2432,67;2432,67;2432,67;2432,67;2432,67;Osteoporose em mulheres na pós-menopausa
347;01/10/2019;0,02;0,035;ACTEMRA  200 MG  FR. AMP. C/ 10 ML;TOCILIZUMABE ;ROCHE;3002.10.39;NEGATIVA;OUTROS;REFRIGERADO;NÃO CONTROLADO;SIM;TRIBUTADO;NÃO;NACIONAL;GO;;7,89623E+12;3;0,0323;1608,07;1608,07;1608,13;0;1588,76;1588,76;1598,39;1608,13;1596,85;1596,85;1614,05;1649,59;1346,7024;1622,53;1632,37;1642,32;1683,38;0;0;0;0;0;Artrite reumatoide, grave 
348;01/10/2019;0,02;0,035;ACTEMRA  80 MG  FR. AMP. C/ 4 ML;TOCILIZUMABE ;ROCHE;3002.10.39;NEGATIVA;OUTROS;REFRIGERADO;NÃO CONTROLADO;SIM;TRIBUTADO;NÃO;NACIONAL;GO;;7,89623E+12;3;0,0323;643,23;643,23;643,26;0;635,51;635,51;639,36;643,26;638,75;638,75;645,63;659,84;538,68;649,02;652,95;656,93;673,35;0;0;0;0;0;Artrite reumatoide, grave 
4313;01/10/2019;0,02;0,035;ACTEMRA 162MG SOL INJ SC C/ 4SER PREENCH X 0,9ML;TOCILIZUMABE ;ROCHE;3002.10.40;NEGATIVA;OUTROS;REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;NÃO;NACIONAL;GO;;7,89623E+12;3;0,0323;4321,87;4321,87;4322,04;0;4269,96;4269,96;4295,84;4322,04;4291,72;4291,72;4337,95;4433,46;3619,4;4360,73;4387,16;4413,91;4524,26;0;0;0;0;0;Artrite reumatoide, grave 
3601;01/10/2019;FÁBRICA;FÁBRICA;ACTILYSE 10MG PO LIOF INJ FA VD + FA DIL X 10ML;ALTEPLASE ;BOEHRINGER;3004.90.99;POSITIVA;OUTROS;NÃO REFRIGERADO;NÃO CONTROLADO;SIM;ISENTO;SIM;IMPORTADO;SP;ORIENTAÇÃO SERGIO ROZA GERENTE DO LABORATÓRIO VENDER A PREÇO FÁBRICA;7,89603E+12;3;0,0323;404,59;404,59;404,59;404,59;404,59;404,59;404,59;404,59;404,59;404,59;404,59;404,59;404,59;0;0;0;0;0;0;0;0;0;Infarto agudo do miocárdio
3602;01/10/2019;FÁBRICA;FÁBRICA;ACTILYSE 20MG PO LIOF INJ FA VD + FA DIL X 20M L;ALTEPLASE ;BOEHRINGER;3004.90.99;POSITIVA;OUTROS;NÃO REFRIGERADO;NÃO CONTROLADO;SIM;ISENTO;SIM;IMPORTADO;SP;ORIENTAÇÃO SERGIO ROZA GERENTE DO LABORATÓRIO VENDER A PREÇO FÁBRICA;7,89603E+12;3;0,0323;809,19;809,19;809,19;809,19;809,19;809,19;809,19;809,19;809,19;809,19;809,19;809,19;809,19;0;0;0;0;0;0;0;0;0;Infarto agudo do miocárdio
453;01/10/2019;FÁBRICA;FÁBRICA;ACTILYSE 50 MG CX C/ 1 FA + DIL. 50 ML;ALTEPLASE ;BOEHRINGER;3004.90.99;POSITIVA;OUTROS;NÃO REFRIGERADO;NÃO CONTROLADO;SIM;ISENTO;SIM;IMPORTADO;SP;ORIENTAÇÃO SERGIO ROZA GERENTE DO LABORATÓRIO VENDER A PREÇO FÁBRICA;7,89603E+12;3;0,0323;2022,99;2022,99;2022,99;2022,99;2022,99;2022,99;2022,99;2022,99;2022,99;2022,99;2022,99;2022,99;2022,99;0;0;0;0;0;0;0;0;0;Infarto agudo do miocárdio
3804;01/10/2019;FÁBRICA;FÁBRICA;ADCETRIS 50 MG PO LIOF INJ CX C/ 1 FA;BRENTUXIMABE VEDOTINA ;TAKEDA/SHIRE;3002.10.39;OUTROS;OUTROS;REFRIGERADO;NÃO CONTROLADO;SIM;TRIBUTADO;NÃO;NACIONAL;SP;LAB ORIENTA A VENDER A FÁBRICA;7,89664E+12;3;0,0323;17111,62;17111,62;17111,62;0;16874,25;16874,25;16992,1;17111,62;16874,25;16874,25;17111,62;17607,04;14031,52;16874,25;16992,1;17111,62;17607,04;18694,3272;22492,1;22659,79055;22797,96;23435,56;Linfoma de Hodgkin (LH) CD30+ recidivado ou refratário
74;01/10/2019;FÁBRICA;FÁBRICA;ADRIBLASTINA RD 10MG;DOXORRUBICINA, CLORIDRATO DE ;PFIZER/WYETH;3004.20.99;POSITIVA;REFERÊNCIA;NÃO REFRIGERADO;NÃO CONTROLADO;SIM;CONVENIO 118;SIM;IMPORTADO;SP;Desconto reduzido para 0% em Agosto/2018 - Não vale a pena vender o item, não teremos margem!;7,89127E+12;3;0,0323;43,89;43,89;43,89;43,89;43,89;52,89;43,89;43,89;43,89;43,89;43,89;43,89;43,89;52,89;53,21;53,53;54,87;0;0;0;0;0;Câncer de mama, pulmão, bexiga, tireoide e ovário
75;01/10/2019;0,02;0,08;ADRIBLASTINA RD 50MG;DOXORRUBICINA, CLORIDRATO DE ;PFIZER/WYETH;3004.20.99;POSITIVA;REFERÊNCIA;NÃO REFRIGERADO;NÃO CONTROLADO;SIM;CONVENIO 118;SIM;IMPORTADO;SP;;7,89127E+12;3;0,0323;109,04;109,04;109,04;109,04;109,04;125,34;109,04;109,04;109,04;109,04;109,04;109,04;182,4;219,76;221,09;222,44;228;0;0;0;0;0;Câncer de mama, pulmão, bexiga, tireoide e ovário
513;01/10/2019;0,02;0,04;AFINITOR 10 MG CX C/ 30 CPS.;EVEROLIMO ;NOVARTIS;3004.90.78;POSITIVA;SIMILAR;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;CONVENIO 118;NÃO;NACIONAL;SP;ORIENTAÇÃO GERENTE IOLE, NÃO VENDER PARA FARMÁCIAS/ DELIVERY E DISTRIBUIDORAS;7,89626E+12;2;0,0422;10457,17;10457,17;10457,17;10457,17;10457,17;11007,54;10457,17;10457,17;10457,17;10457,17;10457,17;10457,17;10679,6554;12867,06;12945,03;13023,97;13023,97;14764;14764;14764;14764;14764;Câncer avançado de mama, estômago, intestino, pulmão, pâncreas, rim ou cerebral
