codigo;dataAlteracao;margemMinima;margemVenda;descricao;apresentacaoQuantidade;nomeQuimico;laboratorio;ean;registro;ncm;lista;categoria;tipoArmazenamento;produtoControlado;exclusivoHospitalar;classificacaofiscal;Origem;ufLaboratorio;observacao;nivel;aumento;oncoProdRS_17_SC;oncoProdRS_175_RS;oncoProdRS_18_PR;oncoProdPE_17_AL;oncoProdPE_18_BA_CE_MA_PB_PE_PI_RN_SE;oncoprodSP_12_SP_MG;oncoprodSP_17_AC_AL_GO_MS_MT_PA_RR;oncoprodSP_175_RO;oncoprodSP_18_AM_AP_BA_CE_MA_MG_PB_PI_RN_SE_TO;oncoprodSP_18_SP;oncoprodSP_20_RJ;oncoprodDF_12_SP_MG;oncoprodDF_17_AC_AL_GO_MS_MT_PA_RR;oncoprodDF_17_DF;oncoprodDF_17_GO;oncoprodDF_175_RO;oncoprodDF_18_AM_AP_BA_CE_MA_MG_PB_PI_RN_SE_TO_SP;oncoprodDF_20_RJ;oncoprodES_12_SP_MG;oncoprodES_17_ES;oncoprodES_18_SP;oncoprodES_20_RJ;pf_0;pf_12;pf_17;pf_175;pf_18;pf_20;PMC_0;PMC_12;PMC_17;PMC_175;PMC_18;PMC_20;indicacao
110304;25/05/2021;TABELA;TABELA;ABELCET 5 MG ML C 1 AMP 20 ML ;1;ANFOTERICINAB ;ABBOTT;7,90E+12;1,56E+12;3004.20.95; POSITIVA;REFERÊNCIA;REFRIGERADO;NÃO CONTROLADO;SIM;TRIBUTADO;NACIONAL;SP;0;1;0,1008;1353,984;1353,984;1353,984;0;1353,984;0;0;0;0;0;0;0;1353,984;1353,984;0;1353,984;1353,984;1353,984;0;1353,984;0;0;2722,362921;3093,59686;3279,955047;3299,840511;3319,957606;3402,962337;2686,921618;0;0;0;0;0;Indicado para o tratamento das infecções fúngicas sistêmicas 
306131;25/05/2021;VERIFICAR COM LABORATÓRIO ;VERIFICAR COM LABORATÓRIO ;ABIRATERONA 250MG 120 COMP RED;120;ABIRATERONA, ACETATO DE ;DR. REDDY'S;8,90E+12;1,51E+12;3004.39.99; NEGATIVA;GENÉRICO;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;IMPORTADO;SP;0;3;0,0679;3951,23;3951,23;3951,23;0;0;0;3951,23;3951,23;3951,23;3951,23;3951,23;0;0;3951,23;0;0;0;0;0;3951,23;0;0;6470,92;7477,72;7996,3;8052,15;8108,78;8343,55;8680,477941;9988,62;10658,46;10730,45;10803,4;11105,54;Câncer de próstata
306390;14/04/2021;3%;4%;ABIRATERONA 250MG C 120 COMP SAN ;120;ABIRATERONA, ACETATO DE ;SANDOZ;7,90E+12;1,00E+12;3004.90.69; NEGATIVA;GENÉRICO;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;IMPORTADO;SP;PODEMOS ATENDER SOMENTE BA, SP, MS, MT, TRIANGULO MINEIRO. NÃO PODEM MAIS SER COMERCIALIZADOS NO RIO GRANDE DO SUL;3;0,0679;0;0;0;0;0;2310,66;2524,35;0;2310,66;2310,66;0;0;0;0;0;0;0;0;0;0;0;0;0;7478,25;7996,87;8052,72;8109,36;8344,14;0;9989,33;10659,22;10731,21;10804,17;11106,33;Câncer de próstata
306814;05/05/2021;3%;7%;ABIRATERONA 250MG C 120COMP TEVA;120;ABIRATERONA, ACETATO DE ;TEVA;7,90E+12;1,56E+12;3004.39.99; NEGATIVA;GENÉRICO;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;IMPORTADO;GO;0;3;0,0679;1838,29;1850,46;1862,8;0;1558,95;0;1829,47;1841,59;1853,87;1853,87;1904,66;0;0;1614,54;0;0;0;0;0;1838,33;0;0;6471,388568;7478,258083;7996,873039;8052,734888;8109,365625;8344,154119;2686,921618;9989,339501;10659,23317;10731,23099;10804,17924;11106,35222;Câncer de próstata
109665;22/04/2021;3%;6%;ABRAXANE  100 MG  C/ 01 AMPOLA;1;PACLITAXEL ;UNITED MEDICAL;7,90E+12;1,96E+12;3004.90.59; NEGATIVA;REFERÊNCIA;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;ISENTO  (EXCETO EM SP);IMPORTADO;GO;0;1;0,1008;836,67;836,67;836,67;836,67;836,67;0;0;0;0;0;0;0;836,67;836,67;953,8038;836,67;836,67;0;0;836,67;953,8038;836,67;854,85;0;1029,95;1036,19;1042,51;1068,57;0;0;0;0;0;0;Adenocarcinoma de pâncreas metastático
2183;22/04/2021;3%;5%;ACLASTA 5 MG FR C/100 ML;1;ZOLEDRONICO, ÁCIDO DE ;SANDOZ;7,90E+12;1,01E+12;3004.90.69; POSITIVA;REFERÊNCIA;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;ISENTO  (EXCETO EM SP);NACIONAL;SP;0;2;0,0843;741,9;741,9;741,9;741,9;741,9;0;0;0;0;0;0;0;741,9;741,9;786,414;741,9;741,9;0;0;741,9;786,414;741,9;1988,72;2259,91;2396,05;2410,57;2425,27;2485,9;2749,2878;3124,19;3312,4;3332,47;3352,79;3436,61;Osteoporose em mulheres na pós-menopausa
347;10/07/2021;2%;3%;ACTEMRA  200 MG  FR. AMP. C/ 10 ML;1;TOCILIZUMABE ;ROCHE;7,90E+12;1,01E+12;3002.15.90; POSITIVA;OUTROS;REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;NACIONAL;GO;0;3;0,0679;1744,38;1755,35;1766,46;0;1835,4;0;0;0;0;0;0;0;1676,11;1596,29;0;1686,65;1697,32;1741,41;0;1744,41;0;0;1484,58;1687,02;1788,65;1799,49;1810,46;1855,73;0;0;0;0;0;0;Artrite reumatoide, grave 
348;10/07/2021;2%;3%;ACTEMRA  80 MG  FR. AMP. C/ 4 ML;1;TOCILIZUMABE ;ROCHE;7,90E+12;1,01E+12;3002.15.90; POSITIVA;OUTROS;REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;NACIONAL;GO;0;3;0,0679;697,74;702,13;706,57;0;734,15;0;0;0;0;0;0;0;670,43;638,51;0;674,65;678,92;696,55;0;697,76;0;0;593,82;674,8;715,45;719,78;724,17;742,28;0;0;0;0;0;0;Artrite reumatoide, grave 
4313;10/07/2021;2%;3%;ACTEMRA 162MG SOL INJ SC C/ 4SER PREENCH X 0,9ML;4;TOCILIZUMABE ;ROCHE;7,90E+12;1,01E+12;3002.15.90; POSITIVA;OUTROS;REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;NACIONAL;GO;0;3;0,0679;4688,25;4717,73;4747,59;0;4932,89;0;0;0;0;0;0;0;4504,76;4290,24;0;4533,09;4561,78;4680,27;0;4688,34;0;0;3990;4534,09;4807,23;4836,36;4865,85;4987,5;0;0;0;0;0;0;Artrite reumatoide, grave 
111931;07/04/2021;FÁBRICA;FÁBRICA;ACTEMRA 400MG 20ML SL DIL INFUS IV;1;TOCILIZUMABE ;ROCHE;7,64E+12;0;3002.15.90; POSITIVA;OUTROS;REFRIGERADO;NÃO CONTROLADO;NÃO;TRIBUTADO;NACIONAL;GO;0;3;0,0679;3577,31;3598,99;3620,94;0;3620,94;0;0;0;0;0;0;0;3577,31;3577,31;0;3598,99;3620,94;3711,46;0;3577,31;0;0;2969,17;3374,06;3577,31;3598,99;3620,94;3711,46;0;0;0;0;0;0;Artrite reumatoide, grave 
