;;;;;;;;;;;;;;;;;;;; FILIAL RS ; ONCOPROD SP ; NORPROD CE ;; HOSPLOG DF ;;;;; ONCOPROD ES ;;;;; FÁBRICA CMED  ;;;;; PMC CMED 11 DE JULHO ;;;;;;;
CÓD;Data alteração;Margem minima ;margem de venda;Descrição;Nome químico;Laboratório;NCM;Lista;Tipo de Armazenamento;Produto Controlado;Exclusivo Hospitalar;Tipo;Resolução 13;ORIGEM;UF Laboratório;Obs;Ean;NÍVEL;% aproximado de aumento; Pr.Vd. RS ; CLIENTES CONV 118 E ISENTO - SP, RJ,PR,SC ; VALOR PARA CLIENTES AM e AC ; VALOR PARA DEMAIS ESTADOS ;" Pr.Vd. 
17% - AC, DF,ES,GO,MT,MS,PA,RR,SC - HOSPLOG DF "; VALOR PARA CLIENTES GO ; Pr.Vd. 17,5% RO - HOSPLOG DF ; Pr.Vd. 18% - HOSPLOG DF ; Pr.Vd. 20% RJ - HOSPLOG DF ; Clientes ES ;" Pr.Vd. 
17% - AC, DF,ES,GO,MT,MS,PA,RR,SC - ONCOPROD ES "; Pr.Vd. 17,5% RO - ONCOPROD ES ; Pr.Vd. 18% - ONCOPROD ES ; Pr.Vd. 20% RJ - ONCOPROD ES ;0% - FAB CMED;17% - FAB CMED;17,5% - FAB CMED;18% - FAB CMED;20% - FAB CMED;0% - PMC CMED;17% - PMC CMED;17,5% - PMC CMED;18% - PMC CMED;20% - PMC CMED;Indicação;;
109665;23/04/2018;Fábrica;Fábrica;ABRAXANE  100 MG  C/ 01 AMPOLA;PACLITAXEL;UNITED MEDICAL;3004.90.59;NEGATIVA;NÃO REFRIGERADO;NÃO CONTROLADO;SIM;CONVENIO 118;SIM;IMPORTADO;GO;PROD.VEM DE GO, NÃO DESONERAR;7898957392063;;; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 979,18 ; R$ -   ; R$ 986,01 ; R$ 992,95 ; R$ 1.021,70 ; R$ 979,18 ; R$ 979,18 ; R$ 986,01 ; R$ 992,95 ; R$ 1.021,70 ; R$ -   ; R$ 979,18 ; R$ 986,01 ; R$ 992,95 ; R$ 1.021,70 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;"É indicado para o tratamento do carcinoma da mama metastático, doentes
adultos com adenocarcinoma metastático do pâncreas e cancro do pulmão de não-pequenas células";;
02183;24/05/2018;4%;6,00%;ACLASTA 5 MG FR C/100 ML;ACIDO ZOLEDRONICO;SANDOZ;3004.90.69;POSITIVA;NÃO REFRIGERADO;NÃO CONTROLADO;NÃO;ISENTO;NÃO;NACIONAL;SP;PODEMOS ATENDER EM TODO BRASIL;7896261010451;3;2,09%; R$ 1.100,00 ; R$ 1.100,00 ; R$ 1.100,00 ; R$ 1.100,00 ; R$ 1.100,00 ; R$ 1.100,00 ; R$ 1.100,00 ; R$ 1.100,00 ; R$ 1.100,00 ; R$ 1.100,00 ; R$ 1.100,00 ; R$ 1.100,00 ; R$ 1.100,00 ; R$ 1.100,00 ; R$ 1.686,66 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 2.331,71 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;BISFOSFONATO - Tratamento doença óssea, hipercalcemia;;
00347;03/04/2018;4%;5,00%;ACTEMRA  200 MG  FR. AMP. C/ 10 ML;TOCILIZUMABE;ROCHE;3002.10.39;NEGATIVA;REFRIGERADO;NÃO CONTROLADO;SIM;REGIME NORMAL;NÃO;NACIONAL;GO;;7896226505879;2;2,47%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 1.520,53 ; R$ -   ; R$ 1.527,80 ; R$ 1.535,15 ; R$ 1.565,25 ; R$ 1.538,85 ; R$ 1.533,94 ; R$ 1.540,45 ; R$ 1.547,02 ; R$ 1.573,86 ; R$ 1.290,81 ; R$ 1.555,19 ; R$ 1.564,62 ; R$ 1.574,16 ; R$ 1.613,51 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;ANTI-REUMÁTICO - Tratamento de artrite reumatoide, moderada a grave, após falha de esquema combinado com DMARDs convencionais ;;
00348;03/04/2018;4%;5,00%;ACTEMRA  80 MG  FR. AMP. C/ 4 ML;TOCILIZUMABE;ROCHE;3002.10.39;NEGATIVA;REFRIGERADO;NÃO CONTROLADO;SIM;REGIME NORMAL;NÃO;NACIONAL;GO;;7896226505855;2;2,47%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 608,22 ; R$ -   ; R$ 611,13 ; R$ 618,81 ; R$ 626,10 ; R$ 615,54 ; R$ 613,58 ; R$ 616,19 ; R$ 614,06 ; R$ 629,55 ; R$ 516,33 ; R$ 622,08 ; R$ 625,85 ; R$ 629,67 ; R$ 645,41 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;ANTI-REUMÁTICO - Tratamento de artrite reumatoide, moderada a grave, após falha de esquema combinado com DMARDs convencionais ;;
04313;03/04/2018;4%;5,00%;ACTEMRA 162MG SOL INJ SC C/ 4SER PREENCH X 0,9ML;TOCILIZUMABE;ROCHE;3002.10.40;NEGATIVA;REFRIGERADO;NÃO CONTROLADO;SIM;REGIME NORMAL;NÃO;NACIONAL;GO;;7896226506890;2;2,47%; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ 4.086,60 ; R$ -   ; R$ 4.106,15 ; R$ 4.125,89 ; R$ 4.206,79 ; R$ 4.135,83 ; R$ 4.122,64 ; R$ 4.140,14 ; R$ 4.157,79 ; R$ 4.229,93 ; R$ 3.469,19 ; R$ 4.179,75 ; R$ 4.205,08 ; R$ 4.230,72 ; R$ 4.336,49 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;ANTI-REUMÁTICO - Tratamento de artrite reumatoide, moderada a grave, após falha de esquema combinado com DMARDs convencionais ;;
03601;22/04/2018;4%;5,00%;ACTILYSE 10MG PO LIOF INJ FA VD + FA DIL X 10ML;ALTEPLASE;BOEHRINGER;3004.90.99;POSITIVA;NÃO REFRIGERADO;NÃO CONTROLADO;SIM;ISENTO;SIM;IMPORTADO;SP;;7896026305372;3;2,09%; R$ 363,05 ; R$ 363,05 ; R$ 363,05 ; R$ 363,05 ; R$ 363,05 ; R$ 363,05 ; R$ 363,05 ; R$ 363,05 ; R$ 363,05 ; R$ 363,05 ; R$ 363,05 ; R$ 363,05 ; R$ 363,05 ; R$ 363,05 ; R$ 387,80 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;"ACTILYSE é indicado para uso exclusivo hospitalar no tratamento do infarto agudo do miocárdio (ataque cardíaco),
embolia pulmonar aguda maciça de difícil controle da pressão arterial e para tratamento do acidente vascular cerebral
(derrame cerebral) isquêmico agudo. ";;
03602;22/04/2018;4%;5,00%;ACTILYSE 20MG PO LIOF INJ FA VD + FA DIL X 20M L;ALTEPLASE;BOEHRINGER;3004.90.99;POSITIVA;NÃO REFRIGERADO;NÃO CONTROLADO;SIM;ISENTO;SIM;IMPORTADO;SP;;7896026305389;3;2,09%; R$ 726,10 ; R$ 726,10 ; R$ 726,10 ; R$ 726,10 ; R$ 726,10 ; R$ 726,10 ; R$ 726,10 ; R$ 726,10 ; R$ 726,10 ; R$ 726,10 ; R$ 726,10 ; R$ 726,10 ; R$ 726,10 ; R$ 726,10 ; R$ 775,61 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;"ACTILYSE é indicado para uso exclusivo hospitalar no tratamento do infarto agudo do miocárdio (ataque cardíaco),
embolia pulmonar aguda maciça de difícil controle da pressão arterial e para tratamento do acidente vascular cerebral
(derrame cerebral) isquêmico agudo. ";;
00453;22/04/2018;4%;5,00%;ACTILYSE 50 MG CX C/ 1 FA + DIL. 50 ML;ALTEPLASE;BOEHRINGER;3004.90.99;POSITIVA;NÃO REFRIGERADO;NÃO CONTROLADO;SIM;ISENTO;SIM;IMPORTADO;SP;;7896026301633;3;2,09%; R$ 1.815,26 ; R$ 1.815,26 ; R$ 1.815,26 ; R$ 1.815,26 ; R$ 1.815,26 ; R$ 1.815,26 ; R$ 1.815,26 ; R$ 1.815,26 ; R$ 1.815,26 ; R$ 1.815,26 ; R$ 1.815,26 ; R$ 1.815,26 ; R$ 1.815,26 ; R$ 1.815,26 ; R$ 1.939,03 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ;AGENTE TROMBOLÍTICO - ex. usado infarto agudo do miocárdio ;;
